alpha,beta,WER,CER,time
0.01,0.0,11.07308726472745,3.769197228816433,239.94054222106934
0.01,0.5,11.048643363480812,3.759507775786057,241.5515284538269
0.01,1.0,11.219750672207285,3.7885761348771863,243.12151527404785
0.01,1.5,11.31752627719384,3.793420861392374,245.49651956558228
0.05,0.0,11.024199462234172,3.764352502301245,242.92008996009827
0.05,0.5,11.048643363480812,3.7546630492708686,241.67810678482056
0.05,1.0,11.244194573453923,3.7837314083619984,240.3925542831421
0.05,1.5,11.31752627719384,3.793420861392374,242.85882258415222
0.1,0.0,11.07308726472745,3.774041955331622,240.43914103507996
0.1,0.5,10.999755560987534,3.7498183227556803,242.6882450580597
0.1,1.0,11.07308726472745,3.7546630492708686,250.65040755271912
0.1,1.5,11.2930823759472,3.7885761348771863,242.69874382019043
0.5,0.0,11.415301882180396,3.8176444939683156,235.42178964614868
0.5,0.5,11.121975067220728,3.774041955331622,237.3301203250885
0.5,1.0,11.024199462234172,3.7498183227556803,238.0602569580078
0.5,1.5,11.07308726472745,3.7546630492708686,241.09239053726196
1.0,0.0,11.586409190906869,3.8515575795746333,241.53796553611755
1.0,0.5,11.635296993400146,3.856402306089821,238.88780426979065
1.0,1.0,11.268638474700563,3.798265587907563,243.49590492248535
1.0,1.5,11.024199462234172,3.764352502301245,244.00931572914124
2.0,0.0,13.68858469811782,4.137396443970738,239.3385510444641
2.0,0.5,12.51527743827915,4.001744101545468,238.88708567619324
2.0,1.0,12.099731117086288,3.933917930332833,239.75398302078247
2.0,1.5,11.586409190906869,3.8418681265442567,241.97423458099365
5.0,0.0,38.32803715472989,9.800881740225764,243.2947804927826
5.0,0.5,33.58592031288193,8.628457923550217,242.33417630195618
5.0,1.0,29.45490100219995,7.872680587180854,245.61879563331604
5.0,1.5,26.448301148863358,7.010319267477351,245.27361273765564
