alpha,beta,WER,CER,time
0.01,0.0,11.146418968467367,3.7885761348771863,112.3930037021637
0.01,0.5,11.07308726472745,3.774041955331622,106.74703359603882
0.01,1.0,11.31752627719384,3.8127997674531273,106.95560503005981
0.01,1.5,11.415301882180396,3.8176444939683156,107.00267910957336
0.05,0.0,11.09753116597409,3.7788866818468096,114.3115029335022
0.05,0.5,11.024199462234172,3.764352502301245,110.62205219268799
0.05,1.0,11.219750672207285,3.798265587907563,111.28711438179016
0.05,1.5,11.366414079687118,3.8127997674531273,114.5670747756958
0.1,0.0,11.09753116597409,3.774041955331622,111.89064741134644
0.1,0.5,11.024199462234172,3.764352502301245,110.8071939945221
0.1,1.0,11.170862869714005,3.7885761348771863,114.70548820495605
0.1,1.5,11.341970178440478,3.8127997674531273,115.26280546188354
0.5,0.0,11.31752627719384,3.793420861392374,112.60151934623718
0.5,0.5,11.146418968467367,3.7837314083619984,113.86159205436707
0.5,1.0,11.07308726472745,3.774041955331622,109.31884121894836
0.5,1.5,11.268638474700563,3.807955040937939,116.64589548110962
1.0,0.0,11.610853092153507,3.856402306089821,113.65354752540588
1.0,0.5,11.31752627719384,3.798265587907563,112.98330760002136
1.0,1.0,11.146418968467367,3.7837314083619984,111.93509721755981
1.0,1.5,11.048643363480812,3.769197228816433,111.24666476249695
2.0,0.0,12.393057932045954,4.147085897001114,113.00272798538208
2.0,0.5,11.953067709606453,3.9920546485150914,110.79487943649292
2.0,1.0,11.80640430212662,3.977520468969527,112.93785309791565
2.0,1.5,11.415301882180396,3.8854706651809505,111.97060680389404
5.0,0.0,97.87338059154241,97.52918947725401,80.21956515312195
5.0,0.5,95.77120508433146,95.47502543481421,82.72750782966614
5.0,1.0,95.33121486189195,94.96632915071945,83.29769968986511
5.0,1.5,91.5912979711562,90.69328036432344,83.41205787658691
